time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,category,participant,set,labelBenchPress,labelDeadlift,labelOHP,labelRow,labelSquat,labelRest
2019-01-18 18:27:01.400,0.0415,0.9715,-0.078,2.4026,-1.7318,-1.2562,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:01.600,0.048,0.97,-0.087,1.9024,-0.7804,-0.5976,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:01.800,0.048,0.967,-0.104333333333,4.6096,-2.951,0.8658,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.000,0.0395,0.9825,-0.1155,0.9878,-0.3292,0.3538,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.200,0.0496666666667,0.965666666667,-0.114666666667,1.1828,-1.9024,-0.744,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.400,0.0425,0.9695,-0.109,1.5002,-1.5732,-1.0732,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.600,0.031,0.968666666667,-0.114666666667,2.4754,-0.8416,-0.8416,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.800,0.0235,0.9285,-0.122,11.195,0.2316,-4.695,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.000,-0.001,0.87,-0.168666666667,28.6832,5.8048,-11.049,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.200,-0.0275,0.871,-0.289,31.939,-3.3416,-5.9876,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.400,-0.0656666666667,0.911,-0.363,14.744,-3.073,-6.9636,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.600,-0.07,0.8885,-0.3965,-1.0244,-1.7806,5.6952,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.800,-0.0366666666667,0.946,-0.381666666667,-11.817,-2.1952,10.1708,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.000,0.001,1.0135,-0.372,-8.1342,-4.195,15.3294,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.200,-0.011,1.08433333333,-0.364333333333,2.1584,-1.0732,-8.2806,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.400,-0.044,1.063,-0.352,5.9024,2.4024,-22.0,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.600,-0.057,0.939333333333,-0.350666666667,-7.5488,1.317,-5.0732,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.800,-0.075,0.9175,-0.301,-15.9878,-1.6828,7.4756,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:05.000,-0.0566666666667,0.982333333333,-0.214,-32.2194,-5.2686,19.7804,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:05.200,0.0045,0.615,-0.1805,-9.6462,-8.7926,1.061,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:05.400,-0.016,0.983,-0.0986666666667,7.8416,-5.4024,-1.2806,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:05.600,-0.028,0.992,-0.1225,1.4756,1.256,-0.7438,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:05.800,-0.0276666666667,0.869666666667,-0.148,17.183,1.622,-5.3294,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:06.000,-0.041,0.8265,-0.2075,32.2926,4.4146,-11.427,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:06.200,-0.073,0.878666666667,-0.325,26.0124,-3.6952,-2.5854,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:06.400,-0.0755,0.9405,-0.3795,6.756,-2.9026,7.9878,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:06.600,-0.044,0.976,-0.415,-8.4632,-4.7682,17.9024,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:06.800,-0.013,1.0435,-0.406,-3.8904,-3.2684,9.9024,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:07.000,-0.00233333333333,1.074,-0.416,0.744,-2.2684,-15.244,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:07.200,-0.0545,1.0235,-0.364,-8.1096,1.0732,-22.6098,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:07.400,-0.08,0.959,-0.322666666667,-18.744,2.5122,0.3294,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:07.600,-0.0635,0.944,-0.237,-30.6342,-7.0974,24.4268,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:07.800,-0.03,0.732,-0.14,-14.7926,-14.0366,6.5732,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:08.000,-0.003,0.9835,-0.084,1.1342,-0.7684,1.6218,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:08.200,-0.0103333333333,0.968666666667,-0.0886666666667,3.3658,0.1464,-2.3414,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:08.400,-0.017,0.9515,-0.1175,6.9634,-1.183,-2.6344,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:08.600,-0.029,0.852666666667,-0.142333333333,15.1952,10.939,-10.939,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:08.800,-0.053,0.869,-0.247,27.9514,-3.6096,-8.3538,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:09.000,-0.0803333333333,0.909,-0.273333333333,17.2804,-3.8412,0.3292,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:09.200,-0.086,0.978,-0.3065,-0.7316,-7.0974,13.7318,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:09.400,-0.043,1.03566666667,-0.334666666667,0.5486,-7.8174,17.866,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:09.600,-0.0085,1.056,-0.357,3.6218,-4.4632,-1.4268,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:09.800,0.00233333333333,0.905,-0.349333333333,-1.2438,-4.8538,3.4024,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:10.000,-0.0445,1.1365,-0.3705,5.7198,1.012,-18.8172,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:10.200,-0.0903333333333,1.01133333333,-0.333,-7.6832,8.8778,-22.3292,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:10.400,-0.115,0.939,-0.3375,-23.6586,1.683,3.8782,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:10.600,-0.08,0.942,-0.187666666667,-39.9024,2.9998,22.9636,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:10.800,-0.018,0.669,-0.1025,-19.1218,-8.1098,14.7074,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:11.000,0.017,0.956,-0.0396666666667,6.866,-9.9632,-2.878,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:11.200,-0.006,0.978,-0.0355,3.7806,-1.5732,-1.4388,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:11.400,-0.00433333333333,0.978333333333,-0.0513333333333,3.1342,-1.5364,-0.634,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:11.600,-0.001,0.957,-0.0795,7.1952,-3.5246,-2.7072,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:11.800,-0.0296666666667,0.875333333333,-0.102,20.4146,-3.622,-8.0488,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:12.000,-0.0505,0.8915,-0.193,24.9634,4.9878,-11.4268,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:12.200,-0.0793333333333,0.901666666667,-0.244333333333,15.683,-2.1464,-3.5856,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:12.400,-0.102,0.954,-0.278,4.3658,-3.134,7.2802,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:12.600,-0.0673333333333,0.995,-0.300666666667,-6.317,-3.3538,14.5734,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:12.800,-0.013,1.097,-0.323,-3.1464,-5.0854,8.6098,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:13.000,-0.0133333333333,0.970333333333,-0.295333333333,-1.7318,-1.7926,-3.2928,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:13.200,-0.0525,1.1415,-0.293,16.366,1.2438,-16.2686,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:13.400,-0.105333333333,1.023,-0.308,-4.0364,3.8292,-20.3294,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:13.600,-0.1255,0.935,-0.3005,-23.6464,3.866,6.8416,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:13.800,-0.072,0.952333333333,-0.168333333333,-30.1462,-0.5732,30.8536,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:14.000,0.0065,0.6415,-0.112,-8.8536,-6.4146,11.7564,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:14.200,0.024,0.961333333333,-0.0896666666667,5.8414,-5.744,-3.5976,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:14.400,0.0205,0.99,-0.0945,2.5978,-1.3902,-1.2806,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:14.600,0.007,0.962333333333,-0.104333333333,1.5608,-2.4878,-2.5364,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:14.800,-0.0045,0.933,-0.1,6.7072,0.7438,-4.9756,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:15.000,-0.026,0.86,-0.163,27.1096,-0.9512,-8.9512,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:15.200,-0.0575,0.8635,-0.2015,19.4754,-3.1584,-9.8658,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:15.400,-0.0763333333333,0.967,-0.276666666667,8.061,-7.0366,-0.8902,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:15.600,-0.0905,0.9665,-0.288,9.9754,-5.8658,14.1708,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:15.800,-0.0596666666667,1.00033333333,-0.330333333333,-7.4392,-4.0,14.427,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:16.000,-0.015,1.065,-0.362,3.0854,-2.0244,2.3782,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:16.200,-0.0106666666667,0.908666666667,-0.299666666667,-10.9878,-0.0366,-1.549,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:16.400,-0.006,1.001,-0.2515,2.695,-4.0732,-2.9392,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:16.600,-0.0366666666667,0.980333333333,-0.284666666667,5.5608,-5.2318,-16.1952,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:16.800,-0.1505,1.1,-0.327,5.2196,0.0366,-21.0976,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:17.000,-0.166666666667,0.981333333333,-0.308666666667,-15.939,2.8782,-8.9636,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:17.200,-0.1605,0.936,-0.2075,-19.6708,3.0,16.5486,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:17.400,-0.0773333333333,0.939666666667,-0.130333333333,-34.5608,8.8292,38.5978,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:17.600,0.0275,0.664,-0.1435,-1.0974,-9.2562,12.7804,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:17.800,0.055,0.992666666667,-0.0416666666667,2.8902,-0.012,1.5122,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:18.000,0.05,0.958,-0.0615,3.3292,-2.6098,2.1952,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:18.200,0.0736666666667,0.974666666667,-0.0816666666667,1.6342,-1.256,-0.4146,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:18.400,0.0715,0.985,-0.0815,0.6828,-2.7926,-1.3416,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:18.600,0.0596666666667,0.97,-0.0693333333333,1.695,-2.5122,0.0974,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:18.800,0.0455,0.975,-0.08,0.6952,-1.9268,-0.7804,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:19.000,0.0503333333333,0.969666666667,-0.0723333333333,2.8048,-2.378,0.2682,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:19.200,0.0485,0.973,-0.0825,1.3902,-1.3904,1.3536,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:19.400,0.0526666666667,0.974333333333,-0.093,0.5244,-1.3414,-0.1342,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:19.600,0.0555,0.9715,-0.0895,0.3292,-1.4878,-0.2926,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:19.800,0.049,0.972333333333,-0.0836666666667,1.2926,-2.1706,-0.4878,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:20.000,0.042,0.972,-0.0835,1.4026,-1.5974,0.1342,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:20.200,0.041,0.976666666667,-0.0833333333333,2.8172,-2.2194,0.561,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:20.400,0.0415,0.9805,-0.068,6.8902,-1.3782,2.9878,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:20.600,0.05,0.978333333333,-0.0816666666667,13.7926,-1.0244,7.256,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:20.800,0.085,0.9445,-0.1535,22.1218,-4.8658,13.6098,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:21.000,0.121333333333,0.94,-0.250333333333,15.1586,0.9514,4.9512,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:21.200,0.132,0.9015,-0.293,19.2928,-0.6586,2.0,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:21.400,0.16,0.880666666667,-0.417666666667,7.439,-3.2438,-3.0732,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:21.600,0.1135,0.8755,-0.36,18.305,-10.7196,-4.5366,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:21.800,0.09,0.894666666667,-0.469666666667,20.9024,-19.1094,-5.5122,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:22.000,0.05,0.917,-0.466,11.8905,-9.5735,7.7135,high,A,2,1,0,0,0,0,0
2019-01-18 18:28:28.600,0.027,0.969,-0.113,1.1828,-2.305,0.9024,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:28.800,0.0125,0.9595,-0.0965,0.8294,-0.8782,-0.2318,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:29.000,0.000333333333333,0.972,-0.0986666666667,-0.1218,-0.4266,1.439,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:29.200,0.0165,0.969,-0.0915,1.0242,0.5,2.0856,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:29.400,0.0253333333333,0.969666666667,-0.101666666667,2.6586,-1.3778,0.878,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:29.600,0.0315,0.9785,-0.1195,-0.5,-0.8294,1.0364,half,A,1,1,0,0,0,0,0
2019-01-18 18:28:29.800,0.0353333333333,0.973,-0.101,-0.5368,-1.5,1.0244,half,A,1,1,0,0,0,0,0
